student_id,attendance_pct,assignment_marks,internal_score,participation,prev_grade,study_hours,risk_label,api
STU001,64.98,51.46,66.12,4.63,63.47,3.11,1,64.983
STU002,89.17,78.5,88.93,9.24,80.44,3.18,0,86.45500000000001
STU003,84.3,80.47,91.69,8.6,96.75,3.54,0,90.991
STU004,68.05,54.42,60.65,5.13,54.36,2.06,1,60.983
STU005,85.76,64.79,77.13,9.67,79.15,5.97,0,80.325
STU006,93.26,63.48,93.89,8.61,84.45,5.93,0,90.869
STU008,86.48,69.49,99.61,7.31,87.78,3.76,0,92.122
STU009,37.13,26.84,37.46,3.69,35.2,0.7,2,36.68300000000001
STU010,69.44,48.92,58.21,5.19,67.68,4.91,1,64.42
STU011,55.1,36.84,27.48,3.79,50.06,1.89,2,42.540000000000006
STU012,91.0,67.48,79.12,7.97,92.85,5.13,0,86.803
STU013,44.72,34.65,34.59,2.74,38.66,0.89,2,38.85
STU014,68.66,56.78,60.65,4.4,50.93,2.19,1,60.137
STU015,99.79,70.19,80.35,9.04,94.11,6.8,0,90.31
STU016,70.72,57.21,59.43,6.79,57.41,4.49,1,62.211
STU017,99.27,97.53,74.6,7.54,91.66,3.33,0,87.119
STU018,94.56,65.59,87.66,9.39,95.1,4.01,0,91.962
STU019,82.44,86.61,75.76,8.57,94.25,4.79,0,83.311
STU020,75.79,60.37,57.85,5.13,64.7,3.39,1,65.287
STU021,85.33,69.29,92.68,9.7,84.58,4.92,0,88.045
STU022,90.41,64.68,97.29,9.82,88.35,6.14,0,92.544
STU023,86.03,84.8,75.04,8.6,93.61,7.47,0,83.908
STU024,95.56,69.94,75.4,9.23,78.66,3.17,0,82.426
STU025,90.97,73.68,93.11,9.46,96.18,3.55,0,93.389
STU026,75.24,72.91,52.55,4.45,57.15,2.69,1,60.736999999999995
STU027,94.17,87.76,91.88,8.63,88.88,4.26,0,91.667
STU028,66.22,65.42,53.63,5.2,66.35,3.39,1,61.223
STU029,98.89,80.24,75.45,8.83,87.17,3.09,0,85.998
STU030,55.29,57.87,36.39,3.12,57.67,0.88,2,48.444
STU031,46.71,59.46,32.3,3.78,58.03,1.63,2,44.342
STU032,81.38,64.99,99.56,9.76,95.01,7.35,0,92.741
STU033,45.05,32.19,31.57,3.41,40.06,0.51,2,38.161
STU035,94.49,78.1,84.11,7.42,75.96,3.88,0,84.779
STU036,68.97,57.68,58.38,5.74,66.47,3.9,1,63.98400000000001
STU037,60.24,78.64,63.27,4.45,53.2,3.24,1,59.34
STU038,32.48,53.82,34.56,3.25,32.01,1.02,2,33.171
STU039,97.86,61.46,76.95,8.42,74.91,5.82,0,82.61099999999999
STU040,80.38,80.98,93.49,8.32,83.05,5.0,0,86.425
STU041,46.23,40.68,37.28,2.12,58.38,1.18,2,46.295
STU042,92.52,66.25,82.85,9.15,69.79,6.29,0,81.833
STU043,79.57,86.88,77.44,7.06,76.16,3.52,0,77.695
STU044,95.8,69.53,76.18,7.3,89.24,4.22,0,85.98400000000001
STU045,50.95,45.89,44.08,1.61,50.04,1.23,2,47.929
STU046,97.82,68.32,71.38,7.08,71.65,3.91,0,79.393
STU047,70.49,73.61,58.43,5.03,66.07,2.78,1,64.34
STU048,66.83,66.85,61.81,5.23,54.83,3.66,1,61.222
STU049,42.65,38.33,67.94,3.61,34.2,1.72,2,50.231
STU050,55.94,30.9,32.33,2.62,38.06,2.08,2,41.132
STU051,84.42,99.38,75.04,8.58,94.88,3.86,0,83.80600000000001
STU052,84.72,64.71,71.53,8.73,97.34,4.37,0,83.23
STU053,46.07,38.26,44.06,1.41,30.33,2.75,2,40.544
STU054,55.34,56.6,37.41,3.74,35.26,1.55,2,42.144
STU055,87.05,66.65,86.05,9.21,70.46,3.41,0,81.673
STU056,70.86,55.1,54.91,5.07,57.01,4.16,1,60.32499999999999
STU057,65.35,68.23,61.33,6.81,58.57,4.2,1,61.708
STU058,83.51,83.8,71.9,7.15,77.13,5.48,0,76.952
STU059,91.53,64.26,80.69,7.23,92.9,6.64,0,87.605
STU060,68.92,53.62,63.77,6.46,57.83,4.4,1,63.533
STU061,93.59,74.44,78.89,7.27,87.3,7.59,0,85.82300000000001
STU062,81.87,67.41,98.56,8.63,82.83,7.36,0,88.834
STU063,51.23,57.69,39.1,1.75,55.48,1.72,2,47.653
STU064,36.42,31.58,47.38,3.78,51.17,0.95,2,45.229
STU065,70.22,69.41,68.31,4.89,50.61,4.77,1,63.573
STU066,99.39,94.48,98.38,9.53,83.7,4.6,0,94.27900000000001
STU067,96.41,69.2,72.07,7.36,87.48,3.38,0,83.995
STU068,72.53,47.29,56.8,4.95,63.05,3.62,1,63.394
STU069,95.61,95.44,80.24,8.85,88.4,4.16,0,87.29899999999999
STU070,79.51,94.99,96.23,8.59,69.66,7.7,0,83.24300000000001
STU071,95.77,90.69,99.94,8.21,79.87,5.4,0,92.66799999999999
STU072,48.2,60.73,48.54,2.26,42.53,2.34,1,46.635000000000005
STU073,84.01,71.49,74.2,7.89,79.99,4.17,0,78.88
STU074,60.76,59.97,50.36,5.15,67.78,4.04,1,58.706
STU075,63.93,48.13,69.0,5.25,64.15,4.64,1,66.024
STU076,98.84,66.68,84.55,9.97,88.02,4.16,0,89.878
STU077,98.8,80.51,89.84,7.69,87.84,3.88,1,91.928
STU078,63.97,57.25,53.73,4.17,64.03,4.91,1,59.891999999999996
STU079,75.91,51.09,68.56,5.19,67.91,4.27,1,70.57
STU080,93.62,68.98,75.46,7.67,94.29,5.68,0,86.557
STU081,47.2,65.1,22.65,1.39,37.97,2.72,2,34.611
STU082,99.07,86.21,96.0,8.65,94.09,3.43,0,96.34800000000001
STU083,87.58,88.94,81.81,8.49,77.05,3.41,0,82.113
STU084,63.96,74.79,63.67,5.49,51.37,3.44,0,60.06700000000001
STU085,91.44,87.12,94.92,8.7,79.78,4.34,0,89.334
STU086,75.82,74.77,65.95,6.6,61.85,4.13,1,67.68100000000001
STU087,96.58,84.74,91.23,9.26,90.08,3.79,0,92.49000000000001
STU088,55.55,63.03,20.85,2.01,33.87,2.36,2,35.166000000000004
STU089,34.66,50.3,44.13,1.86,30.19,2.04,2,37.107
STU090,58.45,55.36,27.53,3.34,46.2,0.77,2,42.407000000000004
STU091,94.98,73.67,86.7,8.9,98.85,7.66,0,92.829
STU092,61.85,47.37,68.74,4.9,62.38,4.12,1,64.765
STU093,31.95,54.84,30.03,3.61,31.37,2.93,1,31.008000000000003
STU094,58.1,60.33,23.77,1.07,30.74,1.31,2,36.160000000000004
STU095,89.26,77.84,93.34,7.82,90.18,7.99,0,91.168
STU096,87.95,91.79,84.09,9.08,74.07,4.1,0,82.24199999999999
STU097,32.39,40.93,38.98,1.45,58.53,1.58,2,42.867999999999995
STU099,87.6,68.52,96.93,7.09,76.13,6.26,0,87.891
STU100,86.74,98.73,96.07,7.56,83.67,7.34,0,89.55099999999999
STU101,73.98,71.64,65.42,5.88,65.21,2.39,1,67.925
STU102,30.94,61.86,37.88,1.35,44.45,0.81,2,37.769000000000005
STU103,72.34,62.21,58.61,4.19,53.61,3.75,1,61.229
STU104,84.65,78.21,94.13,7.03,78.62,3.36,0,86.633
STU105,87.24,71.67,84.92,9.08,87.6,7.3,0,86.42
STU106,52.62,22.52,49.22,3.96,37.26,0.86,2,46.652
STU107,68.98,64.59,62.36,4.03,62.64,2.98,1,64.43
STU108,45.01,20.8,44.03,2.19,32.36,0.83,2,40.823
STU109,90.92,68.01,90.99,7.5,93.82,3.52,0,91.818
STU110,71.46,77.77,64.13,4.16,50.57,3.62,1,62.261
STU111,93.89,92.07,96.26,8.02,91.14,7.07,0,94.013
STU112,80.68,92.69,96.95,8.36,85.98,6.22,0,88.778
STU113,90.05,62.41,92.22,7.74,71.53,3.8,0,85.362
STU114,75.69,56.79,54.38,4.55,67.57,4.37,1,64.73
STU115,92.83,88.77,85.45,7.69,86.22,7.98,0,87.895
STU116,99.47,87.21,89.86,7.22,75.19,3.15,1,88.342
STU117,84.41,89.09,84.42,9.23,95.92,5.13,1,87.86699999999999
STU118,86.26,61.6,81.76,9.6,99.62,5.89,0,88.468
STU119,88.21,94.94,92.03,9.7,84.09,5.11,0,88.50200000000001
STU120,84.81,68.43,88.18,8.87,97.28,6.16,0,89.899
STU121,73.2,76.82,52.63,4.54,62.88,2.71,1,61.876000000000005
STU122,77.49,62.23,53.62,4.74,65.38,4.61,1,64.309
STU123,88.35,83.72,85.93,7.49,80.14,4.96,0,84.91900000000001
STU124,99.36,73.01,78.49,9.32,89.36,3.65,0,88.012
STU125,77.46,47.57,59.08,4.51,54.25,3.56,1,63.144999999999996
STU126,39.77,39.95,32.5,3.12,48.51,0.92,2,39.484
STU127,82.52,86.55,72.06,8.42,91.83,7.22,0,81.12899999999999
STU128,95.92,68.23,87.98,7.34,95.92,4.35,0,92.744
STU129,61.03,46.38,60.62,4.37,66.86,3.36,1,62.615
STU130,98.61,61.66,80.17,7.45,84.72,7.93,0,87.06700000000001
STU131,99.27,85.56,71.14,9.6,98.51,5.27,0,87.79
STU132,44.95,23.35,56.67,1.92,30.9,2.26,2,45.423
STU133,35.85,33.76,48.13,2.33,50.18,2.67,2,45.06100000000001
STU134,82.72,97.78,91.09,9.05,94.98,5.49,0,89.746
STU135,71.12,46.06,67.38,6.79,60.27,4.07,1,66.369
STU136,72.18,58.79,54.31,5.95,61.86,2.32,1,61.936
STU137,92.81,99.09,99.98,8.22,70.49,7.35,0,88.982
STU138,95.43,95.14,87.44,8.21,91.89,4.64,0,91.172
STU139,72.02,72.92,66.16,5.31,63.72,4.45,2,67.18599999999999
STU140,81.52,72.98,86.79,8.1,69.18,4.98,0,79.926
STU141,93.6,69.5,82.27,8.12,82.91,4.14,0,85.86099999999999
STU142,80.54,84.78,88.5,8.39,89.71,4.9,0,86.475
STU143,97.13,61.03,86.05,8.02,83.85,4.9,0,88.714
STU144,41.57,54.32,35.47,3.44,52.95,2.3,2,42.544
STU145,99.07,60.3,71.53,8.94,75.07,7.49,0,80.854
STU146,64.38,77.71,68.54,5.05,51.08,2.3,1,62.054
STU147,68.75,55.76,55.14,6.41,55.13,3.62,1,59.22
STU148,85.54,70.9,88.7,8.24,91.2,3.61,0,88.50200000000001
STU149,82.8,81.01,90.75,9.13,74.62,3.53,0,83.526
STU151,79.91,84.06,89.36,9.46,98.49,7.42,0,89.264
STU152,83.79,76.44,77.15,9.52,87.94,7.5,0,82.37899999999999
STU153,66.36,54.62,54.74,6.47,64.05,3.27,1,61.019000000000005
STU154,49.36,30.84,54.95,1.5,47.6,2.34,2,51.068000000000005
STU155,55.02,20.57,33.83,2.82,49.26,1.87,2,44.816
STU156,64.18,62.39,57.82,6.96,60.7,2.41,1,60.592000000000006
STU157,50.16,37.22,47.13,3.97,50.77,0.82,2,49.131
STU158,81.19,70.97,92.01,7.24,86.93,3.43,0,87.24000000000001
STU159,76.1,52.93,53.84,5.06,55.82,2.21,1,61.111999999999995
STU160,69.34,53.18,51.35,5.62,64.41,4.64,1,60.66499999999999
STU161,71.72,56.66,60.66,6.01,55.84,4.98,1,62.532
STU162,71.91,61.28,61.16,4.18,63.15,3.69,1,64.982
STU163,77.24,52.03,53.51,5.61,62.42,2.29,1,63.30199999999999
STU164,68.11,68.27,65.12,6.39,56.26,4.78,1,63.359
STU165,83.93,99.7,82.58,9.78,73.72,5.7,0,80.327
STU166,96.68,63.56,86.11,9.27,88.33,3.64,0,89.947
STU167,96.35,61.45,93.68,7.91,90.97,4.32,0,93.66799999999999
STU168,86.56,82.15,73.54,7.92,98.05,4.98,0,84.799
STU169,88.39,96.78,88.42,8.49,84.99,7.96,0,87.382
STU170,96.88,64.65,77.05,9.45,97.85,4.9,0,89.239
STU171,97.44,91.6,96.17,7.91,93.98,3.4,0,95.894
STU172,87.46,73.84,76.03,9.93,90.54,6.2,0,83.812
STU173,96.27,96.91,74.84,8.46,95.72,6.03,0,87.533
STU174,95.06,75.95,76.07,7.44,84.58,4.84,0,84.32
STU175,80.43,98.52,71.75,8.65,73.19,7.83,0,74.786
STU176,88.08,77.58,80.04,7.32,84.69,6.2,0,83.84700000000001
STU177,83.54,66.08,88.97,7.18,89.16,6.9,0,87.398
STU178,88.66,62.31,72.69,9.09,99.84,7.92,0,85.626
STU179,64.31,55.61,52.84,4.3,52.18,4.08,1,56.083
STU180,31.81,62.56,48.9,1.92,48.46,2.06,2,43.641000000000005
STU181,45.28,41.28,35.23,1.58,43.49,1.42,2,40.723
STU182,67.45,71.93,66.55,4.03,63.21,3.25,1,65.81800000000001
STU183,89.11,90.41,71.56,7.41,77.05,5.68,0,78.472
STU184,36.24,43.42,39.65,3.88,54.05,1.72,2,42.947
STU185,61.98,74.55,60.96,4.29,58.18,3.46,1,60.431999999999995
STU186,62.7,61.66,56.49,5.13,63.27,3.18,1,60.38700000000001
STU187,43.32,68.21,45.87,1.95,53.61,2.22,2,47.427
STU188,67.88,46.34,55.09,6.71,65.14,3.38,1,61.94199999999999
STU189,92.38,85.47,90.12,8.84,96.75,3.33,0,92.787
STU190,89.89,80.49,75.35,9.04,91.86,3.21,0,84.66499999999999
STU191,80.78,62.85,91.77,7.04,71.23,7.78,0,82.31099999999999
STU192,94.49,73.99,81.24,9.32,78.19,6.31,0,84.3
STU193,35.37,35.85,33.94,1.8,52.93,0.55,2,40.065999999999995
STU194,80.73,90.77,99.07,8.87,78.16,4.91,0,87.295
STU195,83.32,90.99,74.52,8.93,88.07,5.65,0,81.225
STU196,31.22,41.71,43.16,2.81,59.4,1.96,2,44.45
STU197,94.71,65.12,94.54,8.01,89.35,7.64,0,93.03399999999999
STU198,83.72,77.58,81.79,8.84,82.39,7.72,0,82.549
STU199,84.05,95.48,74.52,8.94,75.12,4.43,0,77.559
STU200,96.13,96.76,95.98,7.76,95.24,6.78,0,95.803
STU201,88.67,91.06,95.42,8.97,91.58,3.89,0,92.24300000000001
STU202,69.81,46.51,69.69,4.49,66.87,2.4,1,68.88
STU203,94.25,80.23,94.72,9.52,75.62,6.66,0,88.84899999999999
STU204,69.76,55.41,61.81,5.7,59.15,4.07,2,63.397
STU205,75.72,50.6,62.73,5.38,63.7,2.03,1,66.91799999999999
STU206,64.44,48.47,64.53,5.2,67.85,4.4,1,65.499
STU207,83.28,84.64,87.1,7.56,91.73,4.78,0,87.343
STU208,52.73,60.44,20.15,3.24,31.06,1.01,2,33.196999999999996
STU209,99.12,65.96,81.67,7.92,79.13,7.38,0,86.143
STU210,77.93,70.27,57.37,6.66,58.07,3.78,1,63.748
STU211,67.05,45.11,58.25,5.86,62.52,3.07,1,62.171
STU212,95.68,79.24,73.7,8.93,87.23,3.32,0,84.35300000000001
STU213,91.18,84.14,87.28,9.03,86.38,7.02,0,88.18
STU214,84.67,63.08,94.93,7.18,84.45,4.67,0,88.708
STU215,95.48,80.69,91.52,8.32,93.45,3.74,0,93.28699999999999
STU216,85.89,68.82,83.59,8.79,71.75,6.68,0,80.72800000000001
STU217,77.97,59.74,68.66,5.91,61.57,4.36,1,69.326
STU218,33.43,29.21,63.59,2.76,47.16,0.96,2,49.613
STU219,86.61,60.97,80.7,9.5,69.81,4.37,0,79.206
STU220,69.33,54.08,55.97,5.29,66.93,4.62,1,63.266
STU221,75.15,61.04,53.72,5.45,64.45,2.4,1,63.368
STU222,32.34,47.47,34.4,3.3,51.89,0.9,2,39.028999999999996
STU223,47.7,35.77,60.06,1.21,58.7,0.64,2,55.944
STU224,84.93,96.25,78.59,7.75,76.66,4.36,0,79.91300000000001
STU225,94.95,62.61,84.04,8.46,93.08,3.17,0,90.025
STU226,61.13,63.63,68.13,5.23,52.51,3.04,1,61.343999999999994
STU227,56.1,43.12,56.55,3.81,46.81,0.63,2,53.493
STU228,87.79,99.25,78.54,7.77,91.66,6.27,0,85.251
STU229,35.74,68.88,33.45,2.05,48.26,0.79,2,38.58
STU230,82.18,94.02,77.53,8.68,76.78,5.62,0,78.69999999999999
STU231,81.41,62.71,95.94,9.12,91.41,5.72,0,90.222
STU232,61.47,50.8,59.17,6.84,58.72,4.55,1,59.725
STU233,49.4,35.62,46.47,1.19,46.36,1.78,2,47.316
STU234,95.93,91.45,84.32,7.6,70.61,4.29,0,83.69
STU235,82.46,80.78,80.58,7.61,92.46,7.39,0,84.708
STU236,75.83,60.79,67.41,6.95,54.3,4.32,1,66.00299999999999
STU237,79.57,96.37,72.89,8.62,83.38,5.49,0,78.041
STU238,81.21,75.22,90.05,9.33,94.49,7.82,0,88.72999999999999
STU239,83.28,91.71,86.18,8.73,77.9,6.17,0,82.82600000000001
STU240,95.76,81.32,82.48,7.47,97.37,6.48,0,90.93100000000001
STU241,95.66,96.25,80.19,7.83,95.57,7.92,1,89.445
STU242,81.95,95.76,76.86,8.96,74.71,3.76,0,77.74199999999999
STU243,88.25,95.3,88.84,9.41,71.59,5.53,0,83.488
STU244,77.41,68.38,58.36,5.9,67.71,2.5,1,66.88
STU245,97.52,60.5,83.4,8.68,74.03,5.64,0,84.825
STU246,94.11,89.26,96.82,7.56,71.46,7.29,1,88.399
STU247,96.2,72.57,86.68,8.41,91.02,7.11,0,90.838
STU248,88.64,93.13,81.38,8.01,84.32,3.87,0,84.44
STU249,93.95,69.59,94.95,7.43,72.12,4.74,0,87.801
STU251,88.9,65.05,99.39,9.03,88.66,4.63,0,93.024
STU252,93.41,94.23,73.02,7.68,74.42,7.19,0,79.55699999999999
STU253,38.1,50.51,40.13,1.64,39.16,0.58,2,39.230000000000004
STU254,65.47,75.49,63.06,6.3,66.89,4.37,1,64.932
STU255,71.97,68.48,55.21,5.68,66.33,2.33,1,63.574
STU256,88.39,81.87,84.35,8.14,95.8,7.88,0,88.997
STU257,33.21,37.76,31.68,1.84,57.54,2.65,2,39.897
STU258,85.14,92.2,97.41,7.05,92.37,7.81,0,92.217
STU259,94.26,71.26,79.84,9.62,94.71,3.56,0,88.62700000000001
STU260,93.78,69.68,86.68,7.04,71.99,5.34,0,84.403
STU261,85.33,72.0,88.35,9.23,78.21,3.24,0,84.40199999999999
STU262,76.25,65.76,67.05,6.68,62.02,2.56,1,68.301
STU263,61.42,46.21,54.79,5.75,64.3,4.99,1,59.632
STU264,96.97,93.25,86.12,8.8,70.97,3.57,0,84.83
STU265,61.69,74.03,68.19,6.64,62.05,3.72,1,64.398
STU266,45.01,30.43,42.68,2.81,53.22,2.73,2,46.541
STU267,42.86,53.67,38.31,1.71,51.08,1.78,2,43.506
STU268,81.19,86.09,82.15,9.85,84.12,6.0,0,82.453
STU269,94.62,62.84,85.68,7.76,88.66,4.81,0,89.256
STU270,88.92,71.07,72.32,9.91,73.34,4.66,0,77.606
STU271,89.12,71.23,76.69,7.62,87.93,5.58,0,83.79100000000001
STU272,79.12,61.47,71.22,7.32,75.79,4.69,0,74.96100000000001
STU273,95.85,71.74,87.59,9.8,84.89,4.99,0,89.258
STU274,61.57,57.08,62.34,5.52,52.05,4.62,1,59.022000000000006
STU275,68.88,49.6,64.05,4.82,67.87,3.18,2,66.645
STU276,67.59,69.99,58.22,5.82,66.34,2.93,1,63.467
STU277,96.3,60.06,98.7,8.91,94.46,3.26,0,96.708
STU278,64.64,69.03,51.19,4.34,60.87,3.15,1,58.12899999999999
STU279,88.58,76.76,81.7,9.25,72.75,3.36,0,81.079
STU280,80.68,86.74,81.29,9.04,98.19,4.81,0,86.177
STU281,91.47,96.53,71.29,8.84,88.72,7.37,0,82.57300000000001
